addr	value	ascii
0x0318	0xff	 
0x0319	0xff	 
0x031a	0xff	 
0x031b	0xff	 
0x031c	0xff	 
0x031d	0xff	 
0x031e	0xff	 
0x031f	0xff	 
0x0320	0xff	 
0x0321	0xff	 
0x0322	0xff	 
0x0323	0xff	 
0x0324	0xff	 
0x0325	0xff	 
0x0326	0xff	 
0x0327	0x6f	o
0x0328	0x0d	 
0x0329	0xff	 
0x032a	0xff	 
0x032b	0xff	 
0x032c	0xff	 
0x032d	0xff	 
0x032e	0xff	 
0x032f	0xff	 
0x0330	0xff	 
0x0331	0xff	 
0x0332	0xff	 
0x0333	0xff	 
0x0334	0xff	 
0x0335	0xff	 
0x0336	0xff	 
0x0337	0xff	 
0x0338	0xff	 
0x0339	0xff	 
0x033a	0xff	 
0x033b	0xff	 
0x033c	0xff	 
0x033d	0xff	 
0x033e	0xff	 
0x033f	0xff	 
0x0340	0xff	 
0x0341	0xe7	 
0x0342	0xf0	 
0x0343	0xff	 
0x0344	0xff	 
0x0345	0xff	 
0x0346	0xff	 
0x0347	0xff	 
0x0348	0xff	 
0x0349	0xff	 
0x034a	0xff	 
0x034b	0xff	 
0x034c	0xff	 
0x034d	0xff	 
0x034e	0xff	 
0x034f	0xff	 
0x0350	0xff	 
0x0351	0xff	 
0x0352	0xff	 
0x0353	0xff	 
0x0354	0xff	 
0x0355	0xff	 
0x0356	0xff	 
0x0357	0xff	 
0x0358	0xff	 
0x0359	0xff	 
0x035a	0x8f	 
0x035b	0x0f	 
0x035c	0xff	 
0x035d	0xff	 
0x035e	0xff	 
0x035f	0xff	 
0x0360	0xff	 
0x0361	0xff	 
0x0362	0xff	 
0x0363	0xff	 
0x0364	0xff	 
0x0365	0xff	 
0x0366	0xff	 
0x0367	0xff	 
0x0368	0xff	 
0x0369	0xff	 
0x036a	0xff	 
0x036b	0xff	 
0x036c	0xff	 
0x036d	0xff	 
0x036e	0xff	 
0x036f	0xff	 
0x0370	0xff	 
0x0371	0xff	 
0x0372	0xff	 
0x0373	0xff	 
0x0374	0x09	 
0x0375	0xf1	 
0x0376	0xff	 
0x0377	0xff	 
0x0378	0xff	 
0x0379	0xff	 
0x037a	0xff	 
0x037b	0xff	 
0x037c	0xff	 
0x037d	0xff	 
0x037e	0xff	 
0x037f	0xff	 
0x0380	0xff	 
0x0381	0xff	 
0x0382	0xff	 
0x0383	0xff	 
0x0384	0xff	 
0x0385	0xff	 
0x0386	0xff	 
0x0387	0xff	 
0x0388	0xff	 
0x0389	0xff	 
0x038a	0xff	 
0x038b	0xff	 
0x038c	0xff	 
0x038d	0xaf	 
0x038e	0x11	 
0x038f	0xff	 
0x0390	0xff	 
0x0391	0xff	 
0x0392	0xff	 
0x0393	0xff	 
0x0394	0xff	 
0x0395	0xff	 
0x0396	0xff	 
0x0397	0xff	 
0x0398	0xff	 
0x0399	0xff	 
0x039a	0xff	 
0x039b	0xff	 
0x039c	0xff	 
0x039d	0xff	 
0x039e	0xff	 
0x039f	0xff	 
0x03a0	0xff	 
0x03a1	0xff	 
0x03a2	0xff	 
0x03a3	0xff	 
0x03a4	0xff	 
0x03a5	0xff	 
0x03a6	0xff	 
0x03a7	0xff	 
0x03a8	0x0f	 
0x03a9	0x00	 
0x03aa	0xff	 
0x03ab	0x0f	 
0x03ac	0x00	 
0x03ad	0x00	 
0x03ae	0x00	 
0x03af	0x00	 
0x03b0	0x00	 
0x03b1	0x00	 
0x03b2	0x00	 
0x03b3	0x00	 
0x03b4	0x00	 
0x03b5	0x00	 
0x03b6	0x00	 
0x03b7	0x00	 
0x03b8	0x00	 
0x03b9	0x00	 
0x03ba	0x00	 
0x03bb	0x00	 
0x03bc	0x00	 
0x03bd	0x00	 
0x03be	0x00	 
0x03bf	0x00	 
0x03c0	0x00	 
0x03c1	0x00	 
0x03c2	0x00	 
0x03c3	0x00	 
0x03c4	0x00	 
0x03c5	0x00	 
0x03c6	0x00	 
0x03c7	0x00	 
0x03c8	0x00	 
0x03c9	0x00	 
0x03ca	0x00	 
0x03cb	0x00	 
0x03cc	0x00	 
0x03cd	0x00	 
0x03ce	0x00	 
0x03cf	0x00	 
0x03d0	0x00	 
0x03d1	0x00	 
0x03d2	0x00	 
0x03d3	0x00	 
0x03d4	0x00	 
0x03d5	0x00	 
0x03d6	0x00	 
0x03d7	0x00	 
0x03d8	0x00	 
0x03d9	0x00	 
0x03da	0x00	 
0x03db	0x00	 
0x03dc	0x00	 
0x03dd	0x00	 
0x03de	0x00	 
0x03df	0x00	 
0x03e0	0x00	 
0x03e1	0x00	 
0x03e2	0x00	 
0x03e3	0x00	 
0x03e4	0x00	 
0x03e5	0x00	 
0x03e6	0x00	 
0x03e7	0x00	 
0x03e8	0x00	 
0x03e9	0x00	 
0x03ea	0x00	 
0x03eb	0x00	 
0x03ec	0x00	 
0x03ed	0x00	 
0x03ee	0x00	 
0x03ef	0x00	 
0x03f0	0x00	 
0x03f1	0x00	 
0x03f2	0x00	 
